Model,Star Rating,No. of Ratings,No. of Reviews,OS,,Size,Screen Size,Warranty,Color,Price
SAMSUNG Galaxy Book4 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN ...,4.5,371,327,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Silver,"61,990"
MSI Modern 14 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-444IN/...,4.3,374,320,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Metallic Black,"32,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,4.3,1822,123,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Grey,"47,990"
HP 15s AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Lap...,4.2,419,343,64 bit Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year warranty,Metallic Black,"32,490"
HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light La...,4.3,373,266,Windows 11 Operating System,,100.58 cm (39.6 cm) Display,,1 year onsite warranty,Black,"34,990"
Lenovo Chromebook MediaTek Kompanio 520 - (8 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook Lapto...,3.7,1308,167,Chrome Operating System,,1 Year Carry-in Warranty,,1 year onsite warranty,Black,"16,990"
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,4.4,1360,227,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Grey,"61,990"
MSI Modern 14 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-440IN / ...,4.3,895,192,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Metallic Black,"36,990"
MSI Modern 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO Busines...,4.2,1981,143,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,2 year international warranty,Silver,"32,990"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ521WS|X150...,4.2,1035,232,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Grey,"47,990"
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXY3HN/A,4.7,450,154,Mac OS Operating System,,34.54 cm (13.6 Inch) Display,,1 year warranty,Black,"84,990"
MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-063IN Thin...,4.3,618,320,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Grey,"33,990"
MSI Modern 14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-439IN /...,4.3,1046,257,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Metallic Black,"39,990"
Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin a...,4,326,128,64 bit Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Metallic Black,"42,990"
DELL Inspiron 3520 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 La...,4.2,308,253,64 bit Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Metallic Black,"35,990"
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh...,4.2,680,310,64 bit Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Blue,"49,990"
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...",4.2,887,253,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Metallic Black,"52,990"
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin a...,4.1,1773,136,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Black,"49,690"
MSI Modern 14 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-444IN/...,4.3,358,318,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Black,"32,990"
DELL Inspiron 3520 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 0IN352010031RINB1M...,4.2,1257,321,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Blue,"43,800"
MSI Modern 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) Modern 15 B7M-071IN Thi...,4.3,1551,214,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Black,"44,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,4.3,317,280,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Black,"47,990"
MSI Modern 14 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-440IN / ...,4.3,1342,257,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Grey,"36,990"
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and...,4.2,1438,102,Windows 11 Operating System,,100.63 cm (39.62 cm) Display,,1 year onsite warranty,Metallic Black,"36,990"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ527WS|X150...,4.2,1762,350,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Grey,"47,990"
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ341WS Thi...,4.3,554,221,Windows 11 Home Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Grey,"40,990"
HP Victus Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX ...,4.4,923,142,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year warranty,Black,"58,990"
MSI Modern 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO Busines...,4.2,614,106,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,2 year international warranty,Silver,"32,990"
MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-063IN Thin...,4.3,1070,224,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Metallic Black,"33,990"
HP Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Pro/4 GB Graphics/NVIDIA GeForc...,4.3,1652,148,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year warranty,Silver,"65,990"
ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0393 C...,3.8,592,220,Chrome Operating System,,1 Year Onsite Warranty,,2 year international warranty,Black,"13,490"
MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-062IN Thi...,4.3,1196,172,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Blue,"36,990"
MSI Modern 14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-439IN /...,4.3,1148,344,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Grey,"39,990"
HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,4.4,1827,140,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,2 year international warranty,Black,"55,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,4.3,1627,205,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Black,"49,990"
SAMSUNG Galaxy Book4 Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG3IN ...,4.5,1689,176,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Silver,"75,990"
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,4.4,1382,306,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Blue,"67,990"
MSI Modern 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO-612IN ...,4.3,1836,281,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Grey,"33,990"
MSI Thin 15 Intel Core i7 12th Gen 12650H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,4,1011,226,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Blue,"64,990"
MSI Crosshair 16 HX Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVI...,No rating,1770,296,Windows 11 Operating System,,40.64 cm (16 Inch) Display,,2 year international warranty,Blue,"1,40,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,4.3,590,320,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Blue,"49,990"
HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU|15-fd0111TU Thin and...,4.2,1191,326,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year onsite warranty,Metallic Black,"53,990"
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,4.2,632,190,64 bit Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Blue,"29,990"
Acer One Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Ligh...,4.2,1253,254,64 bit Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Black,"28,990"
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin a...,4.1,1806,107,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Metallic Black,"49,690"
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1...",4.3,549,131,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Metallic Black,"36,990"
Acer Swift Go 14 EVO OLED Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) SFG14-71-...,4.3,388,311,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year onsite warranty,Blue,"59,990"
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY33HN/A,4.7,608,163,Mac OS Operating System,,34.54 cm (13.6 Inch) Display,,1 year onsite warranty,Black,"84,990"
SAMSUNG Galaxy Book4 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN ...,4.5,1085,237,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Grey,"61,990"
MSI Modern 14 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-444IN/...,4.3,1772,112,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Blue,"32,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,4.3,1658,290,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Metallic Black,"47,990"
HP 15s AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Lap...,4.2,1877,192,64 bit Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,2 year international warranty,Grey,"32,490"
HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light La...,4.3,1553,262,Windows 11 Operating System,,100.58 cm (39.6 cm) Display,,1 year warranty,Grey,"34,990"
Lenovo Chromebook MediaTek Kompanio 520 - (8 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook Lapto...,3.7,1910,160,Chrome Operating System,,1 Year Carry-in Warranty,,1 year onsite warranty,Metallic Black,"16,990"
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,4.4,732,281,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Grey,"61,990"
MSI Modern 14 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-440IN / ...,4.3,1158,107,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Black,"36,990"
MSI Modern 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO Busines...,4.2,1384,128,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year onsite warranty,Black,"32,990"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ521WS|X150...,4.2,1115,194,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Blue,"47,990"
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXY3HN/A,4.7,388,140,Mac OS Operating System,,34.54 cm (13.6 Inch) Display,,1 year warranty,Blue,"84,990"
MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-063IN Thin...,4.3,1245,257,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Grey,"33,990"
MSI Modern 14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-439IN /...,4.3,684,313,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Metallic Black,"39,990"
Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin a...,4,758,248,64 bit Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Black,"42,990"
DELL Inspiron 3520 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 La...,4.2,522,303,64 bit Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Silver,"35,990"
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh...,4.2,1372,110,64 bit Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Blue,"49,990"
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...",4.2,353,101,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Black,"52,990"
MSI Katana 15 Intel Core i7 13th Gen 13620H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeF...,4.2,1487,277,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Grey,"1,02,990"
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin a...,4.1,1937,268,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year onsite warranty,Black,"49,690"
DELL Inspiron 3520 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 0IN352010031RINB1M...,4.2,1011,293,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Black,"43,800"
MSI Modern 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) Modern 15 B7M-071IN Thi...,4.3,1036,325,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Grey,"44,990"
MSI Modern 14 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-444IN/...,4.3,414,230,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year onsite warranty,Blue,"32,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,4.3,1248,179,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Blue,"47,990"
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and...,4.2,769,278,Windows 11 Operating System,,100.63 cm (39.62 cm) Display,,1 year warranty,Silver,"36,990"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ527WS|X150...,4.2,1557,295,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Silver,"47,990"
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ341WS Thi...,4.3,766,186,Windows 11 Home Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Blue,"40,990"
HP Victus Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX ...,4.4,906,348,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,2 year international warranty,Blue,"58,990"
MSI Modern 14 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-440IN / ...,4.3,862,341,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year onsite warranty,Blue,"36,990"
MSI Modern 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO Busines...,4.2,413,311,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year warranty,Blue,"32,990"
HP Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Pro/4 GB Graphics/NVIDIA GeForc...,4.3,1932,252,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,2 year international warranty,Black,"65,990"
ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0393 C...,3.8,313,257,Chrome Operating System,,1 Year Onsite Warranty,,2 year international warranty,Silver,"13,490"
MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-063IN Thin...,4.3,1364,309,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Grey,"33,990"
MSI Modern 14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-439IN /...,4.3,1390,205,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Metallic Black,"39,990"
HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,4.4,516,238,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,2 year international warranty,Grey,"55,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,4.3,1958,320,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Metallic Black,"49,990"
SAMSUNG Galaxy Book4 Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG3IN ...,4.5,1832,116,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Black,"75,990"
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,4.4,1413,253,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Silver,"67,990"
MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-062IN Thi...,4.3,495,347,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Metallic Black,"36,990"
MSI Modern 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO-612IN ...,4.3,1934,348,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Blue,"33,990"
MSI Crosshair 16 HX Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVI...,No rating,644,122,Windows 11 Operating System,,40.64 cm (16 Inch) Display,,2 year international warranty,Black,"1,40,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,4.3,1760,283,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Metallic Black,"49,990"
HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU|15-fd0111TU Thin and...,4.2,725,279,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year onsite warranty,Blue,"53,990"
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,4.2,1790,147,64 bit Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Black,"29,990"
Acer One Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Ligh...,4.2,1226,119,64 bit Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Metallic Black,"28,990"
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin a...,4.1,1457,336,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Blue,"49,690"
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1...",4.3,1293,101,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Silver,"36,990"
Acer Swift Go 14 EVO OLED Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) SFG14-71-...,4.3,807,187,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year onsite warranty,Black,"59,990"
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY33HN/A,4.7,1267,130,Mac OS Operating System,,34.54 cm (13.6 Inch) Display,,1 year onsite warranty,Metallic Black,"84,990"
SAMSUNG Galaxy Book4 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN ...,4.5,1797,254,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Blue,"61,990"
MSI Modern 14 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-444IN/...,4.3,1855,229,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year onsite warranty,Silver,"32,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,4.3,1802,348,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Blue,"47,990"
HP 15s AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Lap...,4.2,1132,177,64 bit Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,2 year international warranty,Silver,"32,490"
HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light La...,4.3,396,103,Windows 11 Operating System,,100.58 cm (39.6 cm) Display,,1 year onsite warranty,Metallic Black,"34,990"
Lenovo Chromebook MediaTek Kompanio 520 - (8 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook Lapto...,3.7,915,340,Chrome Operating System,,1 Year Carry-in Warranty,,1 year onsite warranty,Blue,"16,990"
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,4.4,1577,240,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Blue,"61,990"
MSI Modern 14 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-440IN / ...,4.3,869,327,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Grey,"36,990"
MSI Modern 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO Busines...,4.2,1069,262,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year warranty,Black,"32,990"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ521WS|X150...,4.2,1113,335,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Blue,"47,990"
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXY3HN/A,4.7,831,345,Mac OS Operating System,,34.54 cm (13.6 Inch) Display,,2 year international warranty,Silver,"84,990"
MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-063IN Thin...,4.3,1272,227,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year onsite warranty,Black,"33,990"
MSI Modern 14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-439IN /...,4.3,944,346,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Metallic Black,"39,990"
Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin a...,4,1501,299,64 bit Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year onsite warranty,Black,"42,990"
DELL Inspiron 3520 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 La...,4.2,1375,293,64 bit Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Grey,"35,990"
